title,budget,revenue,return,year
E.T. the Extra-Terrestrial,10500000.0,792965326.0,75.52050723809523,1982
Star Wars,11000000.0,775398007.0,70.49072790909091,1977
Jaws,7000000.0,470654000.0,67.23628571428571,1975
The Exorcist,8000000.0,441306145.0,55.163268125,1973
Four Weddings and a Funeral,6000000.0,254700832.0,42.45013866666667,1994
The Godfather,6000000.0,245066411.0,40.844401833333336,1972
Look Who's Talking,7500000.0,296000000.0,39.46666666666667,1989
Annabelle,6500000.0,255273813.0,39.272894307692304,2014
Dirty Dancing,6000000.0,213954274.0,35.659045666666664,1987
The Sound of Music,8200000.0,286214286.0,34.904181219512196,1965
